0,7893299101507092077
1,7244745501803289701
2,17622182814530673781
3,17585591050378417269
4,17585661419122726005
5,17583409619308516468
6,17583409619308516468
7,17583409619308516468
8,17583409619308516468
9,17583409619308516468
10,7893299101507092077
11,7244745501803289701
12,17622182814530673781
13,17585591050378417269
14,17585661419122726005
15,17583409619308516468
16,17583409619308516468
17,17583409619308516468
18,17583409619308516468
19,17583409619308516468
20,7893299101507092077
21,7244745501803289701
22,17622182814530673781
23,17585591050378417269
24,17585661419122726005
25,17583409619308516468
26,17583409619308516468
27,17583409619308516468
28,17583409619308516468
29,17583409619308516468
30,7893299101507092077
31,7244745501803289701
32,17622182814530673781
33,17585591050378417269
34,17585661419122726005
35,17583409619308516468
36,17583409619308516468
37,17583409619308516468
38,17583409619308516468
39,17583409619308516468
40,7893299101507092077
41,7244745501803289701
42,17622182814530673781
43,17585591050378417269
44,17585661419122726005
45,17583409619308516468
46,17583409619308516468
47,17583409619308516468
48,17583409619308516468
49,17583409619308516468
50,7893299101507092077
51,7244745501803289701
52,17622182814530673781
53,17585591050378417269
54,17585661419122726005
55,17583409619308516468
56,17583409619308516468
57,17583409619308516468
58,17583409619308516468
59,17583409619308516468
60,7893299101507092077
61,7244745501803289701
62,17622182814530673781
63,17585591050378417269
64,17585661419122726005
65,17583409619308516468
66,17583409619308516468
67,17583409619308516468
68,17583409619308516468
69,17583409619308516468
70,7893299101507092077
71,7244745501803289701
72,17622182814530673781
73,17585591050378417269
74,17585661419122726005
75,17583409619308516468
76,17583409619308516468
77,17583409619308516468
78,17583409619308516468
79,17583409619308516468
80,7893299101507092077
81,7244745501803289701
82,17622182814530673781
83,17585591050378417269
84,17585661419122726005
85,17583409619308516468
86,17583409619308516468
87,17583409619308516468
88,17583409619308516468
89,17583409619308516468
90,7893299101507092077
91,7244745501803289701
92,17622182814530673781
93,17585591050378417269
94,17585661419122726005
95,17583409619308516468
96,17583409619308516468
97,17583409619308516468
98,17583409619308516468
99,17583409619308516468
